Is Duplicate Row?,Order_ID,Customer_ID,Customer_Name,Email,Country,City,Order_Date,Ship_Date,Product_Category,Quantity,Unit_Price,Unit_Price_Cleaned,Discount,Sales,Age,Age_Cleaned,Customer_Segment,Satisfaction_Score,Payment_Method,Notes,Days_to_Ship,Revenue_Band
Unique,O1059,C013,Luca Bianchi,luca.bianchi@example.com,France,Paris,1/13/2026,1/23/2026,Home,7,178.9,178.9,0.15,1064.45,60,60,Unknown,5,Paypal,return risk,10,High
Unique,O1090,C029,John Doe,john.doe@example.com,Spain,Barcelona,4/15/2026,4/16/2026,Furniture,10,13.45,13.45,0,134.5,62,62,Corporate,2,Bank Transfer,ok,1,Medium
Unique,O1001,C016,Maha Zadeh,maha.zadeh@example.com,Deutschland,Mannheim,1/27/2026,,Office Supplies,2,19.73,19.73,0.25,29.59,60,60,Corporate,5,Bank Transfer,ok,,Low
Unique,O1018,C049,Mehdi Karimi,mehdi.karimi@example.com,Netherlands,Amsterdam,1/28/2026,2/3/2026,Home,8,382.96,382.96,0.15,2604.13,58,58,Corporate,3,,missing phone,6,High
Duplicate,O1018,C049,Mehdi Karimi,mehdi.karimi@example.com,Netherlands,Amsterdam,1/28/2026,2/3/2026,Home,8,382.96,382.96,0.15,2604.13,58,58,Corporate,3,,missing phone,6,High
Unique,O1070,C034,Peter Schmidt,peter.schmidt@example.com,Italy,Rome,4/8/2026,4/10/2026,Office Supplies,0,74.93,74.93,0.15,0,48,48,Home Office,,,check address,2,Low
Unique,O1046,C022,Anna Müller,anna.muller@example.com,France,,6/2/2026,2/15/2026,Electronics,1,174.28,174.28,0.05,165.57,39,39,Home Office,5,Credit Card,check address,-107,Medium
Unique,O1012,C019,John Doe,john.doe@example.com,España,Valencia,3/29/2026,4/1/2026,Electronics,1,"9999,99",9999.99,0.05,9499.99,56,56,Home Office,4,Credit Card,,3,High
Unique,O1038,C035,Ali Reza,ali.reza@example.com,Netherlands,Rotterdam,5/16/2026,5/24/2026,Office Supplies,8,392.72,392.72,0.15,2670.5,20,20,Consumer,,Cash,check address,8,High
Unique,O1080,C046,Tom Brown,tom.brown@example.com,Netherlands,,12/1/2026,1/18/2026,Furniture,1,111.5,111.5,0.2,89.2,36,36,Corporate,3,Bank Transfer,check address,-317,Low
Unique,O1085,C049,Luca Bianchi,luca.bianchi@example.com,Germany,Karlsruhe,3/1/2026,3/2/2026,Furniture,1,€280.50,280.5,0.15,238.42,,,Home Office,5,Bank Transfer,missing phone,1,Medium
Unique,O1011,C005,Maha Zadeh,maha.zadeh@example.com,Germany,Karlsruhe,1/26/2026,1/27/2026,Electronics,6,171.33,171.33,0.2,822.38,61,61,Consumer,,Bank Transfer,missing phone,1,Medium
Unique,O1083,C039,Peter Schmidt,peter.schmidt@example.com,Italy,Milan,3/3/2026,3/11/2026,Electronics,6,398.2,398.2,0.25,1791.9,46,46,Consumer,2,Bank Transfer,ok,8,High
Unique,O1023,C054,Nina Weber,nina.weber@example.com,Italy,Rome,3/19/2026,3/29/2026,Electronics,1,171.79,171.79,0.1,154.61,16,16,Corporate,1,Paypal,return risk,10,Medium
Unique,O1037,C050,Laura Rossi,laura.rossi@example.com,Italy,Milan,5/8/2026,5/12/2026,Electronics,4,326.65,326.65,0.05,1241.27,56,56,Consumer,1,Bank Transfer,missing phone,4,High
Unique,O1091,C018,Carlos Garcia,carlos.garcia@example.com,France,Lyon,1/20/2026,1/25/2026,Home,10,142.66,142.66,0.1,1283.94,69,69,Consumer,3,Bank Transfer,missing phone,5,High
Unique,O1010,C004,Tom Brown,tom.brown@example.com,Spain,Barcelona,2/17/2026,2/18/2026,Furniture,2,263.88,263.88,0,527.76,42,42,Corporate,3,Paypal,ok,1,Medium
Unique,O1064,C034,Nina Weber,nina.weber@example.com,Germany,Heidelberg,2/11/2026,2/16/2026,Home,5,288.7,288.7,0.05,1371.33,56,56,Home Office,5,Bank Transfer,ok,5,High
Duplicate,O1064,C034,Nina Weber,nina.weber@example.com,Germany,Heidelberg,2/11/2026,2/16/2026,Home,5,288.7,288.7,0.05,1371.33,56,56,Home Office,5,Bank Transfer,ok,5,High
Unique,O1075,C040,Julia Fischer,julia.fischer@example.com,Netherlands,Amsterdam,4/14/2026,4/20/2026,Office Supplies,3,"9999,99",9999.99,0.15,25499.97,31,31,Home Office,3,Paypal,missing phone,6,High
Unique,O1049,C020,Mehdi Karimi,mehdi.karimi@example.com,Italy,Milan,3/27/2026,3/29/2026,Office Supplies,4,329.5,329.5,0.05,1252.1,31,31,Corporate,2,,ok,2,High
Unique,O1024,C035,Peter Schmidt,peter.schmidt@example.com,Italy,Naples,4/22/2026,5/1/2026,Furniture,2,339.71,339.71,0.25,509.56,40,40,Home Office,3,Bank Transfer,urgent,9,Medium
Unique,O1020,C055,Nina Weber,nina.weber@example.com,Netherlands,Rotterdam,4/8/2026,4/15/2026,Office Supplies,7,361.54,361.54,0.15,2151.16,30,30,Consumer,4,Credit Card,ok,7,High
Unique,O1074,C019,Julia Fischer,julia.fischer@example.com,Netherlands,,3/18/2026,3/27/2026,Electronics,8,226.31,226.31,0.2,1448.38,45,45,Home Office,3,Bank Transfer,ok,9,High
Unique,O1053,C014,Marie Dubois,marie.dubois@example.com,France,Paris,5/5/2026,5/8/2026,Electronics,2,334.48,334.48,0.25,501.72,37,37,Home Office,5,,check address,3,Medium
Unique,O1065,C006,Luca Bianchi,,Germany,Karlsruhe,3/9/2026,3/19/2026,Office Supplies,8,€291.72,291.72,0.05,2217.07,67,67,Corporate,4,,return risk,10,High
Unique,O1094,C037,Maha Zadeh,maha.zadeh@example.com,Italy,Rome,,4/18/2026,Furniture,9,"311,95",311.95,0.1,2526.79,41,41,Corporate,,Credit Card,,,High
Unique,O1013,C003,Luca Bianchi,luca.bianchi@example.com,France,Paris,1/11/2026,1/16/2026,Office Supplies,9,€282.33,282.33,0.05,2413.92,71,71,Unknown,2,Cash,missing phone,5,High
Unique,O1066,C021,Mehdi Karimi,mehdi.karimi@example.com,Italy,Milan,3/30/2026,4/5/2026,Office Supplies,4,117.58,117.58,0.1,423.29,76,76,Consumer,2,Paypal,check address,6,Medium
Unique,O1015,C017,Emma Wilson,emma.wilson@example.com,Germany,Karlsruhe,4/22/2026,,Office Supplies,7,27.62,27.62,0.2,154.67,75,75,Home Office,,Bank Transfer,missing phone,,Medium
Unique,O1002,C025,Sara Smith,sara.smith@example.com,Germany,Karlsruhe,3/30/2026,4/8/2026,Electronics,7,285.86,285.86,0.1,1800.92,52,52,Corporate,,Bank Transfer,ok,9,High
Unique,O1055,C007,Anna Müller,anna.muller@example.com,Italy,Milan,2/1/2026,2/5/2026,Office Supplies,3,410.44,410.44,0.1,1108.19,,,Consumer,1,Credit Card,,4,High
Unique,O1007,C034,Nina Weber,nina.weber@example.com,Spain,Madrid,2/27/2026,2/28/2026,Home,0,34.02,34.02,0,0,71,71,Corporate,3,Paypal,check address,1,Low
Unique,O1076,C044,Anna Müller,anna.muller@example.com,Spain,Barcelona,3/21/2026,3/22/2026,Electronics,3,445.07,445.07,0.25,1001.41,51,51,Home Office,,,check address,1,High
Unique,O1005,C018,Maha Zadeh,maha.zadeh@example.com,Italy,Naples,,2/2/2026,Electronics,12,86.96,86.96,0.25,782.64,35,35,Home Office,2,Bank Transfer,check address,,Medium
Duplicate,O1005,C018,Maha Zadeh,maha.zadeh@example.com,Italy,Naples,,2/2/2026,Electronics,12,86.96,86.96,0.25,782.64,35,35,Home Office,2,Bank Transfer,check address,,Medium
Unique,O1058,C041,Ali Reza,,Germany,Karlsruhe,3/27/2026,3/29/2026,Office Supplies,3,441.52,441.52,0.05,1258.33,67,67,Corporate,4,Cash,,2,High
Unique,O1031,C003,Laura Rossi,laura.rossi@example.com,Spain,Madrid,3/6/2026,11/3/2026,Office Supplies,1,190.66,190.66,0.1,171.59,55,55,Consumer,1,Credit Card,return risk,242,Medium
Unique,O1033,C019,Ali Reza,,Italy,Milan,6/5/2026,5/8/2026,Office Supplies,9,392.36,392.36,0.05,3354.68,52,52,Home Office,4,Paypal,return risk,-28,High
Unique,O1088,C046,Anna Müller,,Netherlands,Amsterdam,1/20/2026,1/24/2026,Home,7,177.66,177.66,0.25,932.71,62,62,Unknown,3,Cash,urgent,4,Medium
Unique,O1082,C014,Nina Weber,nina.weber@example.com,France,Paris,4/26/2026,5/1/2026,Furniture,5,25.48,25.48,0.2,101.92,62,62,Consumer,2,Credit Card,,5,Medium
Unique,O1073,C001,Ali Reza,ali.reza@example.com,Spain,Barcelona,10/2/2026,,Electronics,5,409.31,409.31,0.2,1637.24,30,30,Unknown,1,Cash,ok,,High
Unique,O1056,C051,Ali Reza,ali.reza@example.com,Germany,Heidelberg,3/15/2026,,Home,0,€74.09,74.09,0.2,0,49,49,Corporate,2,Credit Card,return risk,,Low
Unique,O1028,C040,Laura Rossi,laura.rossi@example.com,Germany,Karlsruhe,1/26/2026,1/29/2026,Furniture,3,188.56,188.56,0.15,480.83,,,Corporate,3,Paypal,missing phone,3,Medium
Unique,O1077,C004,Marie Dubois,marie.dubois@example.com,Netherlands,Amsterdam,5/10/2026,5/13/2026,Furniture,9,324.88,324.88,0.2,2339.14,44,44,Home Office,5,Credit Card,missing phone,3,High
Unique,O1078,C005,Nina Weber,nina.weber@example.com,Germany,Karlsruhe,1/17/2026,1/25/2026,Home,5,346.5,346.5,0.25,1299.38,42,42,Consumer,4,Bank Transfer,missing phone,8,High
Unique,O1057,C041,John Doe,,Spain,Barcelona,6/2/2026,2/10/2026,Office Supplies,7,"239,38",239.38,0.2,1340.53,50,50,Corporate,5,Credit Card,return risk,-112,High
Unique,O1089,C029,Julia Fischer,julia.fischer@example.com,Spain,Madrid,4/7/2026,4/13/2026,Office Supplies,10,"40,49",40.49,0.15,344.17,61,61,Corporate,4,Bank Transfer,urgent,6,Medium
Unique,O1043,C007,Anna Müller,anna.muller@example.com,Spain,Madrid,4/24/2026,4/25/2026,Home,5,322.77,322.77,0.2,1291.08,49,49,Home Office,4,Paypal,missing phone,1,High
Unique,O1029,C010,Nina Weber,nina.weber@example.com,Netherlands,Rotterdam,2/6/2026,2/7/2026,Office Supplies,10,€215.16,215.16,0.15,1828.86,76,76,Home Office,4,Bank Transfer,return risk,1,High
Duplicate,O1029,C010,Nina Weber,nina.weber@example.com,Netherlands,Rotterdam,2/6/2026,2/7/2026,Office Supplies,10,€215.16,215.16,0.15,1828.86,76,76,Home Office,4,Bank Transfer,return risk,1,High
Unique,O1036,C017,Carlos Garcia,carlos.garcia@example.com,Spain,Madrid,1/3/2026,1/10/2026,Furniture,6,433.22,433.22,0.15,2209.42,70,70,Consumer,4,Cash,urgent,7,High
Unique,O1042,C051,John Doe,,Italy,Naples,,3/24/2026,Furniture,9,206.14,206.14,0.2,1484.21,22,22,Corporate,5,Credit Card,check address,,High
Unique,O1047,C027,Laura Rossi,laura.rossi@example.com,France,Paris,5/12/2026,,Office Supplies,10,28.07,28.07,0.2,224.56,,,Consumer,3,Credit Card,urgent,,Medium
Unique,O1017,C051,Maha Zadeh,maha.zadeh@example.com,Italy,Milan,1/22/2026,1/26/2026,Office Supplies,4,9999.99,9999.99,0.05,37999.96,46,46,Corporate,4,Cash,missing phone,4,High
Unique,O1079,C047,John Doe,john.doe@example.com,Deutschland,Mannheim,6/1/2026,1/10/2026,Furniture,4,129.84,129.84,0.25,389.52,64,64,Consumer,4,Credit Card,ok,-142,Medium
Unique,O1072,C052,Emma Wilson,,Germany,Heidelberg,3/15/2026,,Electronics,4,420.4,420.4,0.05,1597.52,22,22,Consumer,2,Cash,ok,,High
